,Text,Date,Likes
57,"Spoke to my sisters and brothers of Assam on aspects of the Citizenship (Amendment) Bill and also assured them that the interests of Assam and other parts of the Northeast will always be protected.<a href=""https://t.co/bHDa3aSThL"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/bHDa3aSThL</a>",Feb 9,392
58,"The BJP is committed to preserving the culture and ethos of Assam.<a href=""https://t.co/TNeWUujUuu"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/TNeWUujUuu</a>",Feb 9,205
59,"When it comes to Bharat Ratnas, those who ruled the nation for 55 years had a fixed approach- the award for some was reserved the moment they were born while others were ignored. 

Atal Ji’s Government and the present NDA Government honoured two greats from Assam.<a href=""https://t.co/ythLqhNcnq"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/ythLqhNcnq</a>",Feb 9,312
60,"One of the prime considerations behind the impetus towards Arunachal Pradesh’s all-round development is to make the state an even bigger hub for tourism. 

More people from India and across the world should come to Arunachal! 

Tourism also boosts the local economy.<a href=""https://t.co/u7oPMmJJAc"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/u7oPMmJJAc</a>",Feb 9,359
61,"55 years of one party and 55 months of BJP... in all spheres of Arunachal Pradesh’s development, our work has been quicker and all-inclusive. 

The Congress ignored the youth of the state and their apathy towards the Jawans guarding our nation is anyway well known.<a href=""https://t.co/lTZys2q6yG"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/lTZys2q6yG</a>",Feb 9,391
62,"Efforts are on, for not one, but two airports in Arunachal Pradesh!

Such focus on connectivity and affordable aviation is unheard of in Arunachal Pradesh’s history!<a href=""https://t.co/DBXfE1On9F"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/DBXfE1On9F</a>",Feb 9,282
63,"Arunachal Pradesh...

A land associated with the rising Sun, brightness and a land that is home to courageous and warm-hearted people. 

Happy to have been in Itanagar. Several projects were initiated that will transform lives of the people of the state.<a href=""https://t.co/tZ0LWY6XAm"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/tZ0LWY6XAm</a>",Feb 9,310
64,"Pictures from the rally in Jalpaiguri. <a href=""/BJP4Bengal"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""2984417534""><s>@</s><b>BJP4Bengal</b></a><a href=""https://t.co/FAw3XoZVj4"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/FAw3XoZVj4</a>",Feb 8,1.2K
65,"In TMC rule the following are welcome: 

Illegal infiltrators. 

Chit fund looters. 

Leaders who face corruption charges. 

But, those believing in democracy are not welcome.

What TMC is doing is not the culture of West Bengal. They are trying to destroy the state’s culture.<a href=""https://t.co/RQiGMHKfUD"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/RQiGMHKfUD</a>",Feb 8,584
66,"Have you ever seen a sitting CM doing Dharnas to defend those who looted the people in Chit Funds?

Well, it happened in West Bengal. It is deeply unfortunate.<a href=""https://t.co/KBiHs3f14R"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/KBiHs3f14R</a>",Feb 8,648
67,"If we thought the Communists were bad, meet Communism Part 2- the TMC!

Didi is CM but someone else’s Dadagiri goes on in West Bengal.

Didi is in such a hurry to go to Delhi that she has left the state in the hands of middlemen and a syndicate.<a href=""https://t.co/DzOU78A6JF"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/DzOU78A6JF</a>",Feb 8,241
68,"North Bengal and I, both have a deep association with tea.

But, Didi dislikes both the tea sector and the tea-seller.

No wonder she is not working for the development of North Bengal!<a href=""https://t.co/DuCqmTgzOI"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/DuCqmTgzOI</a>",Feb 8,294
69,"कांग्रेस ने छत्तीसगढ़ में सरकार बनाते ही जो काम किए, उनमें से एक है, राज्य को आयुष्मान भारत योजना से अलग करना। 

उनके लिए राजनीति, राज्य की जनता के स्वास्थ्य से भी ऊपर है।<a href=""https://t.co/Iw0EJMrDAV"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/Iw0EJMrDAV</a>",Feb 8,549
70,"Congress style of politics- every ten years promise a waiver that is poorly conceived and benefits only a handful of farmers. 

In Chhattisgarh Congress came to power promising waivers too but it’s been two months and the benefits have not reached the farmers. 

Shame.<a href=""https://t.co/jMagrpjSVV"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/jMagrpjSVV</a>",Feb 8,271
71,"Pictures from the public meeting in Raigarh.

People of Chhattisgarh are already disappointed with the Congress government in the state. 

I talked about the steps taken by the Centre for the welfare of the farmers, middle class and unorganised sector. <a href=""/BJP4CGState"" class=""twitter-atreply pretty-link js-nav"" dir=""ltr"" data-mentioned-user-id=""1698414426""><s>@</s><b>BJP4CGState</b></a><a href=""https://t.co/NoToIahn2m"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/NoToIahn2m</a>",Feb 8,302
72,"देश ने एनडीए की मजबूत सरकार देखी और देश ने उनकी मजबूर एवं मिलावटी सरकार देखी।

अब ये लोग महामिलावटी सरकार की बात कर रहे हैं।

भारत जैसे देश में महामिलावटी सरकार बिल्कुल नहीं चलेगी।<a href=""https://t.co/7nJNk6XOEz"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/7nJNk6XOEz</a>",Feb 7,2.5K
73,"History, Congress style:

BC- Before Congress…the era where nothing happened.

AD- After dynasty…the era where everything happened and that too thanks to one family. 

This is reflective of the arrogance that got them from 400 to 44!<a href=""https://t.co/MApE5IrqtX"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/MApE5IrqtX</a>",Feb 7,707
74,"किसान कल्याण के लिए प्रतिबद्ध एनडीए सरकार...<a href=""https://t.co/WipKCqTHaH"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/WipKCqTHaH</a>",Feb 7,453
75,"Congress imposed Emergency.
Congress insults the Armed Forces.
Congress goes on foreign soil and spreads lies about democratic processes.
Congress misuses Article 356.

Yet, they say Modi destroys institutions. 
How much do they lie?<a href=""https://t.co/bz7hVBArzG"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/bz7hVBArzG</a>",Feb 7,633
76,"NDA’s efforts- strengthen national security. 

UPA’s efforts- weaken national security. 
On whose bidding are they opposing important defence deals?
Why have they always looted the defence sector?<a href=""https://t.co/07CpOkUvmB"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/07CpOkUvmB</a>",Feb 7,941
77,"More opportunities for education.

Better healthcare.

Controlling the menace of rising prices.

Ours is a Government committed to ensuring a better quality of life for the middle class.<a href=""https://t.co/9d36t6JZqB"" class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"">pic.twitter.com/9d36t6JZqB</a>",Feb 7,481
